"key","en","ar"
"about.subtitle","Your trusted partner for recycled and virgin polymers","شريكك الموثوق للبوليمرات المُعاد تدويرها والأصلية"
"about.title","About PolySource Global","من نحن"
"blog.error","Failed to load articles","فشل تحميل المقالات"
"blog.latest","","أحدث المقالات"
"blog.loading","Loading articles...","جارِ تحميل المقالات..."
"blog.readMore","Read More","اقرأ المزيد"
"blog.subtitle","Latest news and articles from the polymer industry","أحدث المقالات والرؤى من صناعة البوليمر"
"blog.title","Blog & Insights","المدونة"
"blogArticle.backToBlog","Back to Blog","العودة للمدونة"
"blogArticle.by","By","بواسطة"
"blogArticle.minRead","min read","دقائق للقراءة"
"blogArticle.readTime","min read","دقيقة قراءة"
"blogArticle.relatedArticles","Related Articles","مقالات ذات صلة"
"blogArticle.share","Share Article","مشاركة المقالة"
"blogArticle.technicalQuestions.button","Contact Technical Support","تواصل مع الدعم الفني"
"blogArticle.technicalQuestions.description","Our engineering team can provide processing guidance and material recommendations for your specific application.","يمكن لفريقنا الهندسي تقديم إرشادات المعالجة وتوصيات المواد لتطبيقك المحدد."
"blogArticle.technicalQuestions.title","Have Technical Questions?","هل لديك أسئلة تقنية؟"
"blogPage.breadcrumb.blog","Blog","المدونة"
"blogPage.breadcrumb.home","Home","الرئيسية"
"blogPage.categories.all","All Posts","كل المقالات"
"blogPage.categories.insights","Industry Insights","رؤى صناعية"
"blogPage.categories.materialScience","Material Science","علوم المواد"
"blogPage.categories.processing","Processing Tips","نصائح المعالجة"
"blogPage.categories.regulations","Regulations","لوائح"
"blogPage.categories.technical","Technical Guides","أدلة تقنية"
"blogPage.errors.loadBody","Please try again later","يرجى المحاولة مرة أخرى لاحقًا"
"blogPage.errors.loadTitle","Error Loading Posts","حدث خطأ أثناء تحميل المقالات"
"blogPage.hero.subtitle","Practical guides, material science deep-dives, and industry analysis. Written by engineers, for engineers.","أدلة عملية، وتحليلات عميقة في علوم المواد، ومراجعات لسوق البوليمرات. يكتبها مهندسون لمهندسين."
"blogPage.hero.title","Technical Insights & Industry Updates","رؤى تقنية وتحديثات الصناعة"
"blogPage.newsletter.cta","Subscribe","اشترك"
"blogPage.newsletter.description","Get monthly insights on polymer processing, material science, and industry regulations delivered to your inbox.","احصل على رؤى شهرية حول معالجة البوليمرات وعلوم المواد ولوائح الصناعة مباشرة إلى بريدك الإلكتروني."
"blogPage.newsletter.note","No spam. Unsubscribe anytime.","لا رسائل مزعجة. يمكنك إلغاء الاشتراك في أي وقت."
"blogPage.newsletter.placeholder","your@email.com","you@email.com"
"blogPage.newsletter.title","Stay Updated","ابقَ على اطلاع"
"blogPage.readArticle","Read Article","اقرأ المقال"
"blogPage.seo.description","Expert technical guides on polymer processing, MFI optimization, recycled vs virgin materials comparison, and industry regulations. Written by materials engineers for manufacturers.","أدلة تقنية متخصصة حول معالجة البوليمرات، تحسين مؤشر تدفق الذوبان، مقارنة المواد المعاد تدويرها بالبكر، ولوائح الصناعة. يكتبها مهندسو مواد للمصنعين."
"blogPage.seo.keywords","polymer processing guide, MFI melt flow index, recycled polymer processing, HDPE processing, injection molding tips, polymer industry news, plastic materials blog","دليل معالجة البوليمر، مؤشر تدفق الذوبان، معالجة البوليمرات المعاد تدويرها، معالجة HDPE، نصائح التشكيل بالحقن، أخبار صناعة البوليمرات، مدونة مواد بلاستيكية"
"blogPage.seo.title","Polymer Industry Blog - Technical Guides & Market Insights","مدونة صناعة البوليمرات - أدلة تقنية ورؤى سوقية"
"branding.name","PolySource Global","بوليسورس جلوبال"
"branding.shortName","PolySource","بوليسورس"
"branding.tagline","Recycled-first polymer supply from Dubai","توريد البوليمر المُعاد تدويره من دبي"
"breadcrumb.home","Home","الرئيسية"
"categories.compounds.description","Custom-formulated for your specifications","مُصنعة خصيصاً وفق مواصفاتكم"
"categories.compounds.title","Compounds & Masterbatches","المركبات والماستر باتش"
"categories.parts.description","Injection molded and extruded components","مكونات مصبوبة بالحقن ومبثوقة"
"categories.parts.title","Finished Parts","القطع النهائية"
"categories.recycled.description","rPE, rPP, rPET with certified quality","rPE، rPP، rPET بجودة معتمدة"
"categories.recycled.title","Recycled Polymers","البوليمرات المُعاد تدويرها"
"categories.subtitle","From recycled materials to virgin grades and custom compounds, all with consistent quality you can rely on.","من المواد المُعاد تدويرها إلى الدرجات الأصلية والمركبات المخصصة، كلها بجودة متسقة يمكنك الاعتماد عليها."
"categories.title","Industrial-Grade Polymers, Simplified","موادنا"
"categories.virgin.description","PE, PP grades for demanding applications","درجات PE، PP للتطبيقات المتطلبة"
"categories.virgin.title","Virgin Polymers","البوليمرات الأصلية"
"common.error","Something went wrong","حدث خطأ ما"
"common.getStarted","Get Started","ابدأ الآن"
"common.learnMore","Learn More","اعرف المزيد"
"common.loading","Loading...","جارِ التحميل..."
"common.retry","Try Again","حاول مرة أخرى"
"contact.form.company","Company","الشركة"
"contact.form.companyPlaceholder","Your company name","أدخل اسم شركتك"
"contact.form.email","Email","البريد الإلكتروني"
"contact.form.emailPlaceholder","your@email.com","أدخل بريدك الإلكتروني"
"contact.form.material","Material Needed","المادة المطلوبة"
"contact.form.materialPlaceholder","e.g., rPET, rHDPE, virgin PP","أدخل المادة المطلوبة"
"contact.form.message","Message","الرسالة"
"contact.form.messagePlaceholder","Tell us about your requirements...","أدخل رسالتك"
"contact.form.name","Full Name","الاسم"
"contact.form.namePlaceholder","Enter your name","أدخل اسمك"
"contact.form.phone","Phone","رقم الهاتف"
"contact.form.phonePlaceholder","+971 XX XXX XXXX","أدخل رقم هاتفك"
"contact.form.submit","Send Message","إرسال الرسالة"
"contact.form.submitting","Sending...","جارِ الإرسال..."
"contact.subtitle","Get in touch with our team","نحن هنا لمساعدتك في جميع احتياجاتك من البوليمرات"
"contact.success.description","We'll get back to you within 48 hours.","سنتواصل معك قريباً"
"contact.success.title","Message sent!","تم إرسال رسالتك بنجاح!"
"contact.title","Contact Us","تواصل معنا"
"contactPage.contactCards.availability","Response within 48 hours","رد خلال 48 ساعة"
"contactPage.contactCards.support","Dedicated polymer specialists","مختصون في البوليمرات"
"contactPage.contactCards.workingHours","Sunday - Thursday","الأحد - الخميس"
"contactPage.form.application","Application","التطبيق"
"contactPage.form.clear","Clear Basket","مسح السلة"
"contactPage.form.company","Company","الشركة"
"contactPage.form.country","Country","الدولة"
"contactPage.form.email","Email *","البريد الإلكتروني *"
"contactPage.form.phone","Phone","الهاتف"
"contactPage.form.quantity","Quantity (MT)","الكمية (طن)"
"contactPage.form.required","All fields marked with * are required","الحقول التي تحمل * مطلوبة"
"contactPage.form.requirements","Additional Requirements","متطلبات إضافية"
"contactPage.form.selectedProducts","Selected Products ({{count}})","المنتجات المختارة ({{count}})"
"contactPage.form.submit","Submit Request","إرسال الطلب"
"contactPage.form.timeline","Timeline","الإطار الزمني"
"contactPage.form.title","Quote Request Form","نموذج طلب عرض السعر"
"contactPage.form.yourName","Your Name *","اسمك *"
"contactPage.heroSubtitle","Get a detailed quotation within 48 hours. No WhatsApp back-and-forth. Just clear pricing, lead times, and technical specifications.","احصل على عرض مفصل خلال 48 ساعة. بدون رسائل واتساب، فقط تسعير واضح ومواصفات تقنية."
"contactPage.heroTitle","Request a Quote","اطلب عرض سعر"
"contactPage.rfqBasket.clear","Clear Basket","مسح السلة"
"contactPage.rfqBasket.empty","No products in your RFQ basket yet.","لا توجد منتجات في سلة طلب الأسعار بعد."
"contactPage.rfqBasket.remove","Remove","إزالة"
"contactPage.seoDescription","Get a detailed polymer quotation within 48 hours. Professional RFQ process for recycled and virgin polymers.","احصل على عرض أسعار مفصل خلال 48 ساعة لاحتياجاتك من البوليمرات المُعاد تدويرها أو الأصلية."
"contactPage.seoTitle","Request a Quote - Contact PolySource Global","اطلب عرض سعر - تواصل مع PolySource Global"
"contactPage.successToast.description","We'll respond within 48 hours with a detailed quotation.","سنتواصل معك خلال 48 ساعة بعرض مفصل."
"contactPage.successToast.title","Quote Request Submitted","تم إرسال طلب عرض السعر"
"cta.button","Get Started Today","ابدأ اليوم"
"cta.subtitle","Let's discuss your material requirements. Technical consultation included.","دعنا نناقش متطلبات المواد الخاصة بك. الاستشارة الفنية مشمولة."
"cta.title","Ready to Source Smarter?","مستعد للتوريد بذكاء؟"
"footer.aboutUs","About Us","من نحن"
"footer.blog","Blog","المدونة"
"footer.company","Company","الشركة"
"footer.compoundsMasterbatches","Compounds & Masterbatches","المركبات والماستر باتش"
"footer.contact","Contact","اتصل بنا"
"footer.copyright","© {year} PolySource Global. All rights reserved.","© {year} PolySource Global. جميع الحقوق محفوظة."
"footer.faq","FAQ","الأسئلة الشائعة"
"footer.newsletter","","اشترك في النشرة الإخبارية"
"footer.newsletterPlaceholder","","أدخل بريدك الإلكتروني"
"footer.privacyPolicy","Privacy Policy","سياسة الخصوصية"
"footer.products","Products","المنتجات"
"footer.quickLinks","","روابط سريعة"
"footer.recycledPolymers","Recycled Polymers","البوليمرات المُعاد تدويرها"
"footer.requestQuote","Request Quote","اطلب عرض أسعار"
"footer.resources","Resources","الموارد"
"footer.services","Services","خدماتنا"
"footer.subscribe","","اشترك"
"footer.sustainability","Sustainability","الاستدامة"
"footer.tdsSds","TDS & SDS","البيانات الفنية وبيانات السلامة"
"footer.termsOfService","Terms of Service","شروط الخدمة"
"footer.virginPolymers","Virgin Polymers","البوليمرات الأصلية"
"hero.badge","Dubai to the World","من دبي إلى العالم"
"hero.requestQuote","Request Quote","اطلب عرض أسعار"
"hero.subtitle","Global sourcing of high-quality recycled and virgin polymers with sustainability at the core. Technical-grade materials with traceable quality.","توريد عالمي للبوليمرات المعاد تدويرها والأصلية عالية الجودة مع التركيز على الاستدامة"
"hero.title","Recycled-First Polymer Supply Chain","سلسلة توريد البوليمرات المعاد تدويرها أولاً"
"hero.trustBadges.certified","Certified Recycled","معتمد لإعادة التدوير"
"hero.trustBadges.countries","18+ Countries","أكثر من 18 دولة"
"hero.trustBadges.tons","500+ Tons/month","أكثر من 500 طن شهرياً"
"hero.viewAllMaterials","View All Materials","عرض جميع المواد"
"hero.viewMaterials","View Materials","عرض المواد"
"industries.agriculture","Agriculture","الزراعة"
"industries.automotive","Automotive","السيارات"
"industries.construction","Construction","البناء"
"industries.consumer","Consumer Goods","السلع الاستهلاكية"
"industries.industrial","Industrial","الصناعة"
"industries.packaging","Packaging","التغليف"
"industries.subtitle","Supplying production-grade polymers to manufacturers worldwide","توريد بوليمرات بدرجة إنتاجية للمصنعين في جميع أنحاء العالم"
"industries.title","Trusted Across Industries","موثوق به عبر الصناعات"
"megaMenu.help.cta","Get Technical Help","احصل على دعم تقني"
"megaMenu.help.description","Not sure which material is right for your application?","غير متأكد أي مادة مناسبة لتطبيقك؟"
"megaMenu.help.title","Need Help Choosing?","تحتاج مساعدة في الاختيار؟"
"megaMenu.productFamilies","Product Families","عائلات المنتجات"
"mobileNav.brandDescription","Recycled-first polymer & raw material supply from Dubai","توريد البوليمر والمواد الخام من دبي مع التركيز على المواد المعاد تدويرها"
"mobileNav.browseAllProducts","Browse All Products","تصفح جميع المنتجات"
"mobileNav.browseByProduct","Browse by Product","تصفح حسب المنتج"
"mobileNav.moreAbout","More about PolySource","المزيد عن بوليسورس"
"nav.about","About","من نحن"
"nav.blog","Blog","المدونة"
"nav.browseProducts","Browse Products","تصفح المنتجات"
"nav.contact","Contact","اتصل بنا"
"nav.faq","FAQ","الأسئلة الشائعة"
"nav.home","Home","الرئيسية"
"nav.insights","Insights","رؤى وأخبار"
"nav.noProductsAdded","No products added yet","لم تتم إضافة منتجات بعد"
"nav.polymerProducts","Polymer Products","منتجات البوليمر"
"nav.products","Products","المنتجات"
"nav.requestQuote","Request Quote","اطلب عرض أسعار"
"nav.resources","Resources","الموارد"
"nav.rfqBasket","RFQ Basket","سلة طلب الأسعار"
"nav.services","Services","خدماتنا"
"nav.sustainability","Sustainability","الاستدامة"
"nav.trustBadge.countries","countries","دولة"
"nav.trustBadge.tonnes","tonnes delivered annually","طن يتم تسليمها سنوياً"
"notFound.backHome","Back to Home","العودة للرئيسية"
"notFound.description","Sorry, the page you are looking for does not exist.","عذراً، الصفحة التي تبحث عنها غير موجودة."
"notFound.title","Page Not Found","الصفحة غير موجودة"
"productDetail.addedToRfq","Added to RFQ","تمت الإضافة لطلب السعر"
"productDetail.addedToRfqDesc","{name} has been added to your quote request.","تمت إضافة {name} إلى طلب عرض السعر الخاص بك."
"productDetail.applications.title","Recommended Applications","التطبيقات الموصى بها"
"productDetail.backToProducts","Back to Products","العودة للمنتجات"
"productDetail.documentation.certificate","Certificate","الشهادة"
"productDetail.documentation.certificateDesc","Compliance Cert.","شهادة الامتثال"
"productDetail.documentation.sds","SDS","بيانات السلامة"
"productDetail.documentation.sdsDesc","Safety Datasheet","ورقة بيانات السلامة"
"productDetail.documentation.subtitle","Download product datasheets, safety information, and certificates","تحميل أوراق البيانات ومعلومات السلامة والشهادات"
"productDetail.documentation.tds","TDS","البيانات الفنية"
"productDetail.documentation.tdsDesc","Technical Datasheet","ورقة البيانات التقنية"
"productDetail.documentation.title","Technical Documentation","الوثائق الفنية"
"productDetail.downloadTds","Download TDS","تحميل البيانات الفنية"
"productDetail.faq.contactUs","Contact us","اتصل بنا"
"productDetail.faq.stillQuestions","Still have questions?","لا يزال لديك أسئلة؟"
"productDetail.faq.subtitle","Common questions about this product","أسئلة شائعة حول هذا المنتج"
"productDetail.faq.title","Frequently Asked Questions","الأسئلة الشائعة"
"productDetail.inStock","In Stock","متوفر"
"productDetail.outOfStock","Out of Stock","غير متوفر"
"productDetail.overview.certifiedSupply","Certified Supply Chain","سلسلة توريد معتمدة"
"productDetail.overview.certifiedSupplyDesc","ISO-certified partners and traceable sourcing","شركاء معتمدون ISO ومصادر قابلة للتتبع"
"productDetail.overview.consistentQuality","Consistent Quality","جودة متسقة"
"productDetail.overview.consistentQualityDesc","Batch-to-batch consistency with full traceability","اتساق من دفعة لدفعة مع إمكانية التتبع الكامل"
"productDetail.overview.globalShipping","Global Shipping","الشحن العالمي"
"productDetail.overview.globalShippingDesc","Reliable delivery from our Dubai hub worldwide","تسليم موثوق من مركزنا في دبي إلى جميع أنحاء العالم"
"productDetail.overview.technicalSupport","Technical Support","الدعم الفني"
"productDetail.overview.technicalSupportDesc","Processing guidance and troubleshooting assistance","إرشادات المعالجة والمساعدة في استكشاف الأخطاء"
"productDetail.overview.title","Product Overview","نظرة عامة على المنتج"
"productDetail.packaging.bulk","Bulk","بالجملة"
"productDetail.packaging.container","Container","حاوية"
"productDetail.packaging.dubaiPorts","Ships from Dubai ports to worldwide destinations","الشحن من موانئ دبي إلى جميع الوجهات حول العالم"
"productDetail.packaging.fclLcl","FCL and LCL options available","خيارات FCL وLCL متاحة"
"productDetail.packaging.leadTime","Typical lead time: 2-4 weeks from order confirmation","وقت التسليم النموذجي: 2-4 أسابيع من تأكيد الطلب"
"productDetail.packaging.shipping","Shipping","الشحن"
"productDetail.packaging.standard","Standard","قياسي"
"productDetail.packaging.standardOptions","Standard Packaging Options","خيارات التعبئة القياسية"
"productDetail.packaging.title","Packaging & Logistics","التعبئة والخدمات اللوجستية"
"productDetail.processing.backPressure","Back Pressure","الضغط الخلفي"
"productDetail.processing.mouldTemp","Mould Temp","درجة حرارة القالب"
"productDetail.processing.note","Note: Processing parameters may vary based on your specific equipment and product requirements. Contact our technical team for optimization support.","ملاحظة: قد تختلف معايير المعالجة بناءً على معداتك المحددة ومتطلبات المنتج. اتصل بفريقنا الفني للحصول على دعم التحسين."
"productDetail.processing.screwSpeed","Screw Speed","سرعة البرغي"
"productDetail.processing.temperature","Temperature","درجة الحرارة"
"productDetail.processing.title","Processing Guidelines","إرشادات المعالجة"
"productDetail.quality.batchTested","Every batch tested and certified with full documentation","كل دفعة يتم اختبارها واعتمادها مع توثيق كامل"
"productDetail.quality.certifications","Certifications","الشهادات"
"productDetail.quality.materialPassports","Material passports available with complete traceability","جوازات سفر المواد متاحة مع إمكانية التتبع الكامل"
"productDetail.quality.qualityAssurance","Quality Assurance","ضمان الجودة"
"productDetail.quality.thirdParty","Third-party laboratory testing reports on request","تقارير اختبار المختبرات الخارجية متاحة عند الطلب"
"productDetail.quality.title","Quality & Compliance","الجودة والامتثال"
"productDetail.quickQuote.company","Company *","الشركة *"
"productDetail.quickQuote.companyPlaceholder","ABC Manufacturing","اسم الشركة"
"productDetail.quickQuote.email","Email *","البريد الإلكتروني *"
"productDetail.quickQuote.emailPlaceholder","john@company.com","name@company.com"
"productDetail.quickQuote.namePlaceholder","John Doe","محمد أحمد"
"productDetail.quickQuote.privacy","Your data is secure and will only be used to process your quote request.","بياناتك آمنة ولن تُستخدم إلا لمعالجة طلب عرض السعر."
"productDetail.quickQuote.quantity","Approximate Quantity (MT)","الكمية التقريبية (طن)"
"productDetail.quickQuote.quantityPlaceholder","e.g., 20","مثال: 20"
"productDetail.quickQuote.requirements","Additional Requirements","متطلبات إضافية"
"productDetail.quickQuote.requirementsPlaceholder","Color preferences, certifications needed, delivery timeline...","تفضيلات الألوان، الشهادات المطلوبة، مواعيد التسليم..."
"productDetail.quickQuote.submit","Submit Request","إرسال الطلب"
"productDetail.quickQuote.subtitle","Get a response within 48 hours","احصل على رد خلال 48 ساعة"
"productDetail.quickQuote.title","Quick Quote Request","طلب عرض سعر سريع"
"productDetail.quickQuote.yourName","Your Name *","اسمك *"
"productDetail.relatedProducts.recycled","Recycled","مُعاد تدويره"
"productDetail.relatedProducts.title","Related Products","منتجات ذات صلة"
"productDetail.relatedProducts.viewDetails","View Details","عرض التفاصيل"
"productDetail.requestQuote","Request Quote","اطلب عرض سعر"
"productDetail.requestSample","Request Sample","اطلب عينة"
"productDetail.specifications.density","Density","الكثافة"
"productDetail.specifications.elongation","Elongation at Break","الاستطالة عند الكسر"
"productDetail.specifications.meltingPoint","Melting Point","نقطة الانصهار"
"productDetail.specifications.mfi","Melt Flow Index (MFI)","مؤشر تدفق الذوبان (MFI)"
"productDetail.specifications.property","Property","الخاصية"
"productDetail.specifications.subtitle","Key material properties and test conditions","خصائص المواد الرئيسية وظروف الاختبار"
"productDetail.specifications.tensileStrength","Tensile Strength","قوة الشد"
"productDetail.specifications.testMethods","Test Methods: All specifications determined according to ASTM and ISO standards. Contact our technical team for complete test reports and methodology details.","طرق الاختبار: جميع المواصفات محددة وفقاً لمعايير ASTM وISO. اتصل بفريقنا الفني للحصول على تقارير الاختبار الكاملة وتفاصيل المنهجية."
"productDetail.specifications.title","Technical Specifications","المواصفات الفنية"
"productDetail.specifications.value","Value","القيمة"
"productDetail.tabs.applications","Applications","التطبيقات"
"productDetail.tabs.faq","FAQ","الأسئلة الشائعة"
"productDetail.tabs.overview","Overview","نظرة عامة"
"productDetail.tabs.packaging","Packaging & Logistics","التعبئة والخدمات اللوجستية"
"productDetail.tabs.processing","Processing","المعالجة"
"productDetail.tabs.quality","Quality & Compliance","الجودة والامتثال"
"productDetail.tabs.specifications","Specifications","المواصفات"
